occurrence_no_x,locality,county_original,state,cc,notes,genus,age_max,age_min
980063,Eastern Cape,,Eastern Cape,ZA,,Lystrosaurus,251.902,247.2
986757,Eastern Cape,Ukhahlamba,Eastern Cape,ZA,,Bauria,247.2,242
986759,Eastern Cape,Ukhahlamba,Eastern Cape,ZA,,Kannemeyeria,247.2,242
986759,Eastern Cape,Ukhahlamba,Eastern Cape,ZA,,Kannemeyeria,247.2,242
986760,Eastern Cape,Ukhahlamba,Eastern Cape,ZA,,Cynognathus,247.2,242
986761,Eastern Cape,Ukhahlamba,Eastern Cape,ZA,,Diademodon,247.2,242
986762,Eastern Cape,Ukhahlamba,Eastern Cape,ZA,,Trirachodon,247.2,242
1132298,Eastern Cape,Engcobo,Eastern Cape,ZA,,Diademodon,247.2,242
1134183,Eastern Cape,,Eastern Cape,ZA,,Cynognathus,247.2,242
1134184,Eastern Cape,,Eastern Cape,ZA,,Diademodon,247.2,242
1134185,Eastern Cape,,Eastern Cape,ZA,,Kannemeyeria,247.2,242
1135798,Eastern Cape,Cacadu,Eastern Cape,ZA,,Paraburnetia,259.51,254.14
1143578,Eastern Cape,,Eastern Cape,ZA,,Sysphinctostoma,247.2,242
1220771,Eastern Cape,Sterkstroom,Eastern Cape,ZA,,Ufudocyclops,247.2,242
1220772,Eastern Cape,Sterkstroom,Eastern Cape,ZA,,Ufudocyclops,247.2,242
1220773,Eastern Cape,Sterkstroom,Eastern Cape,ZA,,Shansiodon,247.2,242
