,id,occurrence_no,genus,Locality,county_original,state,cc
367,3055,788489,Dimetrodon,Archer,Archer,Texas,US
368,3054,788507,Mastersonia,Knox,Knox,Texas,US
369,3053,788508,Dimetrodon,Knox,Knox,Texas,US
370,3050,788509,Cotylorhynchus,Knox,Knox,Texas,US
371,3051,788509,Cotylorhynchus,Knox,Knox,Texas,US
372,3052,788509,Cotylorhynchus,Knox,Knox,Texas,US
373,3049,788511,Dimetrodon,Gotha,Gotha,Thuringia,DE
374,3047,788517,Cotylorhynchus,Knox,Knox,Texas,US
375,3048,788517,Cotylorhynchus,Knox,Knox,Texas,US
376,3046,788518,Tappenosaurus,Knox,Knox,Texas,US
377,3045,788519,Dimacrodon,Knox,Knox,Texas,US
378,3042,788527,Dimacrodon,Hardeman,Hardeman,Texas,US
379,3043,788527,Dimacrodon,Hardeman,Hardeman,Texas,US
380,3044,788527,Dimacrodon,Hardeman,Hardeman,Texas,US
381,3039,788965,Cotylorhynchus,Knox,Knox,Texas,US
382,3040,788965,Cotylorhynchus,Knox,Knox,Texas,US
383,3041,788965,Cotylorhynchus,Knox,Knox,Texas,US
384,3038,788966,Cotylorhynchus,Knox,Knox,Texas,US
385,3037,788969,Steppesaurus,Hardeman,Hardeman,Texas,US
386,3036,789057,Ophiacodon,Baylor,Baylor,Texas,US
387,3035,789058,Dimetrodon,Baylor,Baylor,Texas,US
388,3034,789065,Ophiacodon,Baylor,Baylor,Texas,US
389,3033,789066,Dimetrodon,Baylor,Baylor,Texas,US
390,3032,789070,Dimetrodon,Baylor,Baylor,Texas,US
391,3031,789071,Edaphosaurus,Baylor,Baylor,Texas,US
392,3030,789379,Ophiacodon,Rio Arriba,Rio Arriba,New Mexico,US
393,3028,789382,Ophiacodon,Rio Arriba,Rio Arriba,New Mexico,US
394,3029,789382,Ophiacodon,Rio Arriba,Rio Arriba,New Mexico,US
