genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lam,avg_mu,mat_z_trans_NN,map_z_trans_NN,wmm_z_trans_NN,cmm_z_trans_NN,wmmcmm_z_trans_NN,wetmon_z_trans_NN,drymon_z_trans_NN,wetdry_z_trans_NN,mat_z_trans_WI,map_z_trans_WI,wmm_z_trans_WI,cmm_z_trans_WI,wmmcmm_z_trans_WI,wetmon_z_trans_WI,drymon_z_trans_WI,wetdry_z_trans_WI,Stage
Anthodon,0.839307093,0,0,1,0,261.10795194194196,254.3450326986987,6.76291924324326,0.26774928555555555,0.22229553,-1.1665194605,-0.17490601749999998,0.523674909375,-1.6192432186249999,1.746417353625,-0.441031743,0.741365203375,-0.827926275875,-1.1665194605,-0.17490601749999998,0.523674909375,-1.6192432186249999,1.746417353625,-0.441031743,0.741365203375,-0.827926275875,Lopingian
Araeoscelis,-0.16587831,0,1,0,0,289.3285818768769,272.3499775495496,16.978604327327332,0.44082552555555554,0.32211227000000003,0.9897035053157895,-1.3260833321578946,0.3043082621578947,0.9701943403684211,-0.7007396175789474,-0.952060240894737,-1.5300165601578946,-0.5002180588947368,0.9897035053157895,-1.3260833321578946,0.3043082621578947,0.9701943403684211,-0.7007396175789474,-0.952060240894737,-1.5300165601578946,-0.5002180588947368,Mixed
Archeopelta,-0.298764409,0,0,1,0,240.36173487587587,239.50568937837838,0.8560454974974903,0.5208385033333333,0.41958062111111116,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,Ladinian
Archosaurus,-0.05317856,1,0,0,0,262.2911381781782,254.18853484284284,8.102603335335345,0.21343316888888889,0.8039974444444444,-1.2406020002222222,-0.1987634083333333,0.30732219222222223,-1.5914508846666664,1.600475661888889,-0.4290739113333333,0.6956989678888889,-0.7949675140000001,-1.2406020002222222,-0.1987634083333333,0.30732219222222223,-1.5914508846666664,1.600475661888889,-0.4290739113333333,0.6956989678888889,-0.7949675140000001,Mixed
Arganaceras,-0.298764409,0,1,0,0,256.50519434734736,256.43220968868866,0.0729846586586973,3.976265338888889,2.7245692277777778,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359,Lopingian
Arizonasaurus,-0.180407969,0,1,0,0,246.80349621721723,244.61274280780782,2.1907534094094103,3.8691741866666667,0.20375984333333333,-0.3484771266666667,-0.4370998383333333,-0.650113508,-0.08101385033333335,-0.29084540066666664,-0.5632834476666667,-0.031337283333333334,-0.6552442079999999,-0.3484771266666667,-0.4370998383333333,-0.650113508,-0.08101385033333335,-0.29084540066666664,-0.5632834476666667,-0.031337283333333334,-0.6552442079999999,Anisian
Asilisaurus,-0.298764409,0,0,1,0,246.68642532132134,241.99719966966967,4.689225651651668,4.04916476,0.5020561722222222,-0.188571064,-0.643099228,-0.22335913000000002,-0.084157458,-0.049365216,-0.769319312,-0.22765890400000002,-0.8189142149999998,-0.188571064,-0.643099228,-0.22335913000000002,-0.084157458,-0.049365216,-0.769319312,-0.22765890400000002,-0.8189142149999998,Anisian
Asperoris,-0.298764409,0,0,1,0,245.23983672372373,244.62233396196194,0.6175027617617843,1.249592031111111,0.25905798888888887,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215,Anisian
Augustaburiania,0.901034606,1,0,0,0,250.87070783283284,247.2426623123123,3.628045520520544,0.9215946388888889,0.2912079033333333,-1.206016867,-0.350847738,-0.6169916610000001,-1.1650150165,0.7007604864999999,-0.291135873,-0.18796241350000004,-0.26804660599999997,-1.206016867,-0.350847738,-0.6169916610000001,-1.1650150165,0.7007604864999999,-0.291135873,-0.18796241350000004,-0.26804660599999997,Early Triassic
Australothyris,-0.298764409,0,0,1,0,262.46412511211213,261.9436243913914,0.5205007207207473,0.8338408455555555,0.34364455555555556,-1.833262318,-0.389622535,-1.423499545,-1.369112213,0.432942128,-0.333411258,0.330369084,-0.531297419,-1.833262318,-0.389622535,-1.423499545,-1.369112213,0.432942128,-0.333411258,0.330369084,-0.531297419,Capitanian
