genus	lat_range_z_trans	Arctic	Temperate_N	Tropical	Temperate_S	Antarctic
Parvosuchus	-0.3368251980293161	0	0	0	1	0
Pectodens	-0.3368251980293161	0	0	1	0	0
Pelecymala	-0.3368251980293161	0	1	0	0	0
Pendraig	-0.3368251980293161	0	1	0	0	0
Pentaedrusaurus	-0.3368251980293161	0	1	0	0	0
Permotriturus	-0.3368251980293161	0	1	0	0	0
Pessopteryx	-0.29868846981104863	0	1	0	0	0
Peteinosaurus	-0.3368251980293161	0	0	1	0	0
Phaanthosaurus	-0.02451444380903513	0	1	0	0	0
Phalarodon	2.3147520105530965	0	1	1	0	0
Phantomosaurus	-0.3368251980293161	0	1	0	0	0
Phonodus	-0.3368251980293161	0	0	0	1	0
Pinheirochampsa	-0.3368251980293161	0	0	0	1	0
Pintosaurus	-0.3368251980293161	0	0	0	1	0
Pisanosaurus	-0.3368251980293161	0	0	0	1	0
Pistosaurus	1.05185351411414	0	1	1	0	0
Placochelys	1.6194833441443155	0	1	1	0	0
Placodus	3.0013416185017827	0	1	1	0	0
Planocephalosaurus	2.4815098813944574	0	1	1	0	0
Plateosauravus	-0.3368251980293161	0	0	0	1	0
Plateosaurus	8.024287175983709	0	1	0	1	0
Plesiosaurus	0.18433384566876806	0	1	0	0	0
Polesinesuchus	-0.3368251980293161	0	0	0	1	0
Polonosuchus	-0.3368251980293161	0	1	0	0	0
Polymorphodon	-0.3368251980293161	0	1	0	0	0
Poposaurus	0.4989264350398597	0	0	1	0	0
Postosuchus	0.2321857625601074	0	0	1	0	0
Powellvenator	-0.3368251980293161	0	0	0	1	0
Pravusuchus	-0.3368251980293161	0	0	1	0	0
Preondactylus	-0.3368251980293161	0	1	0	0	0
Prestosuchus	0.1329082431046118	0	0	0	1	0
Procerosuchus	-0.3368251980293161	0	0	0	1	0
Procolina	-0.3368251980293161	0	1	0	0	0
Procolophon	2.0165303387696625	0	0	0	1	1
Procolophonichnium	-0.3368251980293161	0	0	0	1	0
Procompsognathus	-0.3368251980293161	0	1	0	0	0
Proganochelys	2.77589537215106	0	1	1	0	0
Prolacerta	1.1310959458194776	0	0	0	1	1
Prolacertoides	-0.3368251980293161	0	1	0	0	0
Prosantosaurus	-0.3368251980293161	0	1	0	0	0
Prosaurosphargis	-0.3368251980293161	0	0	1	0	0
Protanystropheus	0.1585653384612613	0	1	1	0	0
Protecovasaurus	-0.3368251980293161	0	0	1	0	0
Protenodontosaurus	-0.3368251980293161	0	1	0	0	0
Proteosaurus	-0.1860601219871946	0	1	0	0	0
Proterochampsa	-0.3368251980293161	0	0	0	1	0
Proterochersis	0.0995418993382735	0	1	0	0	0
Proterosuchus	8.987645125215563	0	1	0	1	0
Protoavis	-0.3368251980293161	0	0	1	0	0
Protocaptorhinus	-0.16738640424841325	0	0	1	0	0
Protoichthyosaurus	-0.3368251980293161	0	1	0	0	0
Protome	-0.3368251980293161	0	0	1	0	0
Protorosaurus	-0.18465241819595168	0	1	0	0	0
Protorothyris	-0.2281879539276072	0	0	1	0	0
Protosuchus	0.9938095959393687	0	1	1	0	0
Provelosaurus	-0.15131919687175982	0	0	0	1	0
Psephochelys	-0.3368251980293161	0	1	0	0	0
Psephoderma	3.5088311808823995	0	1	1	0	0
Psephosauriscus	-0.11873205855692678	0	0	1	0	0
