genus	lat_range_z_trans	Temperate_N	Tropical	Temperate_S	Antarctic
Sophineta	-0.336825198	1	0	0	0
Soturnia	-0.336825198	0	0	1	0
Soumyasaurus	-0.336825198	0	1	0	0
Sphenotitan	-0.336825198	0	0	1	0
Sphodrosaurus	-0.336825198	0	1	0	0
Spinosuchus	-0.146111671	0	1	0	0
Spondylolestes	-0.336825198	0	0	1	0
Spondylosoma	-0.336825198	0	0	1	0
Stagonolepis	2.281729613	1	1	0	0
Stagonosuchus	-0.336825198	0	0	1	0
Staurikosaurus	-0.336825198	0	0	1	0
Stauromatodon	-0.336825198	1	0	0	0
Stegomus	-0.112964613	0	1	0	0
Stenaulorhynchus	-0.336825198	0	0	1	0
Stenomyti	-0.336825198	0	1	0	0
Stenoscelida	-0.336825198	0	0	1	0
Stereosternum	2.084540499	0	0	1	1
Styracocephalus	-0.336825198	0	0	1	0
Suchonosaurus	-0.336825198	1	0	0	0
Sumidadectes	-0.336825198	0	1	0	0
Syntarsus	-0.336825198	0	1	0	0
Syntomiprosopus	-0.336825198	0	1	0	0
Tachiraptor	-0.336825198	0	1	0	0
Tanaisosaurus	-0.336825198	1	0	0	0
Tangasaurus	-0.336825198	0	0	1	0
Tanystropheus	3.604521916	1	1	0	0
Tanytrachelos	0.068619691	0	1	0	0
Tarjadia	-0.336825198	0	0	1	0
Tasmaniosaurus	1.070351645	0	0	1	1
Tawa	-0.336825198	0	1	0	0
Taytalura	-0.336825198	0	0	1	0
