,occurrence_no_x,locality,county_original,state,cc,notes,genus,age_max,age_min
324,492832,Yunnan,Yungyin,Yunnan,CN,,Chinshakiangosaurus,201.4,199.5
325,493537,Arizona,Navajo,Arizona,US,,Ammorhynchus,247.2,244.7
326,493538,Arizona,Navajo,Arizona,US,,Ammorhynchus,247.2,244.7
327,493539,Arizona,Navajo,Arizona,US,,Ammorhynchus,247.2,244.7
328,493540,Arizona,Navajo,Arizona,US,,Ammorhynchus,247.2,244.7
329,497884,Baden-Wurttemberg,,Baden-Wurttemberg,DE,,Grallator,227.0,208.5
330,497885,Baden-Wurttemberg,,Baden-Wurttemberg,DE,,Grallator,227.0,208.5
331,504257,Switzerland,,Schaffhausen,CH,,Eudimorphodon,227.0,208.5
332,504266,Switzerland,,Schaffhausen,CH,,Eudimorphodon,208.5,201.4
333,504276,Switzerland,,Schaffhausen,CH,,Variodens,208.5,201.4
334,504392,Connecticut,New Haven,Connecticut,US,,Grallator,201.4,199.5
